Graph1 Name;Graph2 Name;Graph1 nb nodes;Graph2 nb nodes;Graph1 nb edges;Graph2 nb edges;Method;Param; distance;optimal solution found;Class Graph1;Class Graph2;matching
image11_24.gxl;image11_24.gxl;15;15;16;16;DistributedGED;;   0.00000;true;11;11;Node:13->13=0.0/Node:14->14=0.0/Node:8->8=0.0/Node:5->5=0.0/Node:3->3=0.0/Edge:4_<>11->4_<>11=0.0/Edge:7_<>9->7_<>9=0.0/Edge:3_<>5->3_<>5=0.0/Edge:4_<>9->4_<>9=0.0/Edge:10_<>12->10_<>12=0.0/Node:11->11=0.0/Node:2->2=0.0/Node:7->7=0.0/Node:6->6=0.0/Edge:12_<>13->12_<>13=0.0/Edge:3_<>12->3_<>12=0.0/Node:9->9=0.0/Edge:0_<>4->0_<>4=0.0/Node:1->1=0.0/Node:12->12=0.0/Edge:1_<>14->1_<>14=0.0/Edge:2_<>6->2_<>6=0.0/Node:10->10=0.0/Edge:2_<>7->2_<>7=0.0/Edge:7_<>14->7_<>14=0.0/Edge:8_<>13->8_<>13=0.0/Node:0->0=0.0/Edge:2_<>11->2_<>11=0.0/Edge:13_<>14->13_<>14=0.0/Node:4->4=0.0/Edge:3_<>11->3_<>11=0.0/
image11_24.gxl;image11_30.gxl;15;15;16;16;DistributedGED;; 103.99339;true;11;11;Edge:8_<>13->8_<>13=0.0/Edge:1_<>14->1_<>14=0.0/Node:9->9=12.509995/Edge:3_<>5->3_<>5=0.0/Node:4->4=13.509255/Node:12->12=13.509255/Node:10->10=0.707105/Node:6->6=9.899495/Edge:7_<>9->7_<>9=0.0/Node:13->13=7.38241/Edge:2_<>11->2_<>11=0.0/Node:3->3=3.807885/Edge:2_<>7->2_<>7=0.0/Edge:2_<>6->2_<>6=0.0/Node:14->14=5.656855/Edge:10_<>12->10_<>12=0.0/Edge:4_<>9->4_<>9=0.0/Node:5->5=6.36396/Node:2->2=1.414215/Edge:3_<>12->3_<>12=0.0/Edge:7_<>14->7_<>14=0.0/Node:0->0=12.020815/Node:7->7=2.828425/Node:11->11=0.707105/Node:8->8=4.24264/Edge:13_<>14->13_<>14=0.0/Edge:12_<>13->12_<>13=0.0/Node:1->1=9.43398/Edge:3_<>11->3_<>11=0.0/Edge:0_<>4->0_<>4=0.0/Edge:4_<>11->4_<>11=0.0/
image11_24.gxl;image11_22.gxl;15;15;16;16;DistributedGED;; 132.56240;true;11;11;Node:7->7=5.147815/Node:10->10=5.656855/Edge:3_<>12->3_<>12=0.0/Node:9->9=15.55635/Edge:10_<>12->10_<>12=0.0/Edge:2_<>6->2_<>6=0.0/Edge:13_<>14->13_<>14=0.0/Node:14->14=12.509995/Node:11->11=3.0/Edge:8_<>13->8_<>13=0.0/Node:5->5=15.55635/Edge:12_<>13->12_<>13=0.0/Node:1->1=10.440305/Edge:7_<>14->7_<>14=0.0/Edge:1_<>14->1_<>14=0.0/Edge:2_<>11->2_<>11=0.0/Node:2->2=10.049875/Edge:0_<>4->0_<>4=0.0/Node:0->0=3.535535/Edge:4_<>11->4_<>11=0.0/Node:12->12=9.899495/Edge:3_<>5->3_<>5=0.0/Edge:4_<>9->4_<>9=0.0/Edge:7_<>9->7_<>9=0.0/Node:6->6=10.6066/Node:3->3=3.60555/Node:4->4=11.401755/Edge:2_<>7->2_<>7=0.0/Node:8->8=6.082765/Edge:3_<>11->3_<>11=0.0/Node:13->13=9.51315/
image11_24.gxl;image21_4.gxl;15;15;16;16;DistributedGED;;1280.02948;false;11;21;Edge:2_<>6->0_<>12=0.0/Node:2->12=90.0/Edge:3_<>5->eps_id=7.5/Node:10->7=43.8463249206543/Edge:3_<>12->eps_id=7.5/Edge:7_<>14->eps_id=7.5/Edge:eps_id->10_<>14=7.5/Node:1->14=90.0/Node:12->9=90.0/Node:8->10=90.0/Node:6->0=90.0/Edge:eps_id->5_<>9=7.5/Node:7->8=90.0/Edge:0_<>4->3_<>13=0.0/Node:9->5=47.18315505981445/Edge:8_<>13->10_<>11=0.0/Node:4->3=90.0/Edge:3_<>11->2_<>6=0.0/Node:14->1=90.0/Node:3->6=90.0/Edge:2_<>11->eps_id=7.5/Edge:7_<>9->5_<>8=0.0/Edge:13_<>14->1_<>11=0.0/Node:13->11=90.0/Node:11->2=90.0/Edge:10_<>12->7_<>9=0.0/Edge:2_<>7->8_<>12=0.0/Edge:1_<>14->1_<>14=0.0/Edge:4_<>9->eps_id=7.5/Node:0->13=90.0/Edge:eps_id->6_<>13=7.5/Edge:12_<>13->eps_id=7.5/Node:5->4=34.0/Edge:eps_id->0_<>4=7.5/Edge:4_<>11->2_<>3=0.0/
image11_24.gxl;image18_14.gxl;15;15;16;16;DistributedGED;;1373.51315;true;11;18;Node:2->0=70.5992202758789/Node:6->2=90.0/Edge:4_<>11->4_<>6=0.0/Node:9->9=74.05571746826172/Node:5->8=90.0/Edge:13_<>14->eps_id=7.5/Edge:7_<>14->7_<>14=0.0/Edge:0_<>4->1_<>6=0.0/Node:7->7=71.61005401611328/Edge:12_<>13->eps_id=7.5/Edge:7_<>9->7_<>9=0.0/Node:14->14=90.0/Node:13->12=90.0/Node:4->6=84.74815368652344/Edge:2_<>11->eps_id=7.5/Edge:eps_id->8_<>10=7.5/Edge:4_<>9->eps_id=7.5/Node:12->11=90.0/Edge:3_<>5->5_<>8=0.0/Node:0->1=90.0/Node:11->4=90.0/Edge:2_<>6->0_<>2=0.0/Edge:eps_id->2_<>11=7.5/Edge:eps_id->6_<>13=7.5/Edge:2_<>7->0_<>7=0.0/Node:8->10=90.0/Edge:eps_id->0_<>3=7.5/Edge:3_<>11->4_<>5=0.0/Edge:3_<>12->eps_id=7.5/Node:1->3=90.0/Edge:1_<>14->3_<>14=0.0/Edge:eps_id->1_<>8=7.5/Edge:10_<>12->11_<>13=0.0/Edge:8_<>13->10_<>12=0.0/Node:3->5=90.0/Edge:eps_id->9_<>12=7.5/Node:10->13=90.0/
image11_24.gxl;image18_16.gxl;15;15;16;16;DistributedGED;;1219.73816;true;11;18;Edge:4_<>9->eps_id=7.5/Edge:3_<>5->11_<>13=0.0/Edge:eps_id->5_<>8=7.5/Edge:eps_id->4_<>6=7.5/Edge:eps_id->0_<>3=7.5/Node:3->13=90.0/Node:4->8=49.648765563964844/Node:13->4=90.0/Edge:7_<>14->7_<>14=0.0/Edge:2_<>7->0_<>7=0.0/Node:7->7=40.607879638671875/Edge:7_<>9->7_<>9=0.0/Node:9->9=37.23237991333008/Edge:eps_id->2_<>11=7.5/Edge:4_<>11->eps_id=7.5/Edge:2_<>11->eps_id=7.5/Edge:3_<>12->eps_id=7.5/Node:5->11=90.0/Node:14->14=90.0/Edge:13_<>14->eps_id=7.5/Edge:eps_id->9_<>12=7.5/Node:12->10=90.0/Edge:3_<>11->6_<>13=0.0/Edge:eps_id->1_<>6=7.5/Node:11->6=50.44055938720703/Edge:2_<>6->0_<>2=0.0/Edge:10_<>12->10_<>12=0.0/Edge:0_<>4->1_<>8=0.0/Node:1->3=90.0/Node:8->5=90.0/Edge:12_<>13->eps_id=7.5/Edge:eps_id->8_<>10=7.5/Edge:1_<>14->3_<>14=0.0/Node:10->12=90.0/Node:0->1=90.0/Edge:8_<>13->4_<>5=0.0/Node:6->2=90.0/Node:2->0=44.30857467651367/
image11_24.gxl;image18_18.gxl;15;15;16;16;DistributedGED;;1373.53815;true;11;18;Edge:1_<>14->3_<>14=0.0/Edge:2_<>11->eps_id=7.5/Edge:2_<>6->0_<>2=0.0/Edge:4_<>9->eps_id=7.5/Edge:7_<>9->7_<>9=0.0/Edge:13_<>14->eps_id=7.5/Node:9->9=66.00189208984375/Edge:3_<>5->4_<>6=0.0/Node:1->3=90.0/Node:7->7=70.9964828491211/Edge:eps_id->2_<>11=7.5/Edge:7_<>14->7_<>14=0.0/Edge:eps_id->8_<>10=7.5/Edge:12_<>13->eps_id=7.5/Node:4->8=82.3559341430664/Node:12->11=90.0/Node:6->2=90.0/Edge:eps_id->1_<>6=7.5/Edge:4_<>11->5_<>8=0.0/Edge:8_<>13->10_<>12=0.0/Node:3->4=90.0/Node:10->13=90.0/Node:0->1=90.0/Edge:eps_id->9_<>12=7.5/Edge:3_<>11->4_<>5=0.0/Node:13->10=90.0/Edge:eps_id->0_<>3=7.5/Edge:10_<>12->11_<>13=0.0/Edge:0_<>4->1_<>8=0.0/Node:2->0=81.683837890625/Edge:eps_id->6_<>13=7.5/Edge:2_<>7->0_<>7=0.0/Node:14->14=90.0/Node:5->6=90.0/Node:8->12=90.0/Node:11->5=90.0/Edge:3_<>12->eps_id=7.5/
image11_24.gxl;image18_19.gxl;15;15;16;16;DistributedGED;;1354.08597;true;11;18;Edge:eps_id->1_<>6=7.5/Edge:0_<>4->1_<>8=0.0/Edge:13_<>14->eps_id=7.5/Edge:10_<>12->11_<>13=0.0/Edge:7_<>9->0_<>2=0.0/Edge:eps_id->2_<>11=7.5/Node:3->4=90.0/Edge:2_<>11->eps_id=7.5/Edge:7_<>14->0_<>3=0.0/Node:13->10=90.0/Node:7->0=63.413326263427734/Edge:1_<>14->3_<>14=0.0/Node:14->3=90.0/Edge:3_<>11->4_<>5=0.0/Node:0->1=90.0/Edge:2_<>7->0_<>7=0.0/Edge:eps_id->8_<>10=7.5/Node:11->5=90.0/Edge:eps_id->7_<>14=7.5/Node:9->2=77.7077865600586/Edge:12_<>13->eps_id=7.5/Edge:eps_id->9_<>12=7.5/Edge:2_<>6->7_<>9=0.0/Edge:4_<>11->5_<>8=0.0/Edge:eps_id->6_<>13=7.5/Node:5->6=90.0/Node:1->14=90.0/Node:6->9=90.0/Node:4->8=75.27283477783203/Node:12->11=90.0/Edge:3_<>5->4_<>6=0.0/Node:8->12=90.0/Node:2->7=65.19202423095703/Edge:3_<>12->eps_id=7.5/Node:10->13=90.0/Edge:8_<>13->10_<>12=0.0/Edge:4_<>9->eps_id=7.5/
image11_24.gxl;image18_21.gxl;15;15;16;16;DistributedGED;;1299.53083;true;11;18;Node:1->12=90.0/Node:6->2=90.0/Node:5->10=90.0/Edge:13_<>14->eps_id=7.5/Edge:eps_id->4_<>6=7.5/Edge:3_<>5->10_<>11=0.0/Edge:10_<>12->7_<>8=0.0/Edge:7_<>14->5_<>9=0.0/Edge:2_<>6->1_<>2=0.0/Edge:1_<>14->5_<>12=0.0/Edge:eps_id->8_<>13=7.5/Edge:7_<>9->9_<>13=0.0/Edge:2_<>7->1_<>9=0.0/Edge:eps_id->2_<>3=7.5/Edge:4_<>11->eps_id=7.5/Node:12->7=90.0/Edge:12_<>13->eps_id=7.5/Node:0->4=90.0/Node:10->8=90.0/Edge:eps_id->10_<>14=7.5/Edge:3_<>11->6_<>11=0.0/Edge:0_<>4->4_<>14=0.0/Node:2->1=58.2000846862793/Edge:eps_id->7_<>14=7.5/Node:8->3=90.0/Node:7->9=59.052940368652344/Edge:8_<>13->0_<>3=0.0/Edge:4_<>9->eps_id=7.5/Node:9->13=60.052059173583984/Edge:3_<>12->eps_id=7.5/Node:14->5=90.0/Edge:eps_id->1_<>12=7.5/Node:13->0=90.0/Edge:eps_id->0_<>6=7.5/Node:11->6=65.62202453613281/Node:3->11=90.0/Edge:2_<>11->eps_id=7.5/Node:4->14=59.103721618652344/
image11_24.gxl;image18_28.gxl;15;15;16;16;DistributedGED;;1221.27423;true;11;18;Node:9->13=43.83206558227539/Edge:1_<>14->5_<>12=0.0/Edge:8_<>13->0_<>3=0.0/Edge:10_<>12->7_<>8=0.0/Edge:3_<>5->10_<>11=0.0/Node:6->2=90.0/Edge:4_<>9->eps_id=7.5/Edge:12_<>13->eps_id=7.5/Edge:eps_id->7_<>14=7.5/Edge:eps_id->4_<>6=7.5/Node:14->5=90.0/Node:12->7=90.0/Edge:2_<>11->eps_id=7.5/Node:7->9=45.30452346801758/Edge:2_<>7->1_<>9=0.0/Node:2->1=44.432533264160156/Edge:4_<>11->eps_id=7.5/Edge:0_<>4->4_<>14=0.0/Edge:eps_id->8_<>13=7.5/Edge:eps_id->0_<>6=7.5/Node:13->0=90.0/Edge:7_<>9->9_<>13=0.0/Edge:7_<>14->5_<>9=0.0/Node:0->4=90.0/Node:3->11=90.0/Edge:eps_id->1_<>12=7.5/Edge:2_<>6->1_<>2=0.0/Node:8->3=90.0/Edge:3_<>12->eps_id=7.5/Edge:eps_id->10_<>14=7.5/Edge:3_<>11->6_<>11=0.0/Node:4->14=41.164306640625/Edge:13_<>14->eps_id=7.5/Edge:eps_id->2_<>3=7.5/Node:5->10=90.0/Node:1->12=90.0/Node:11->6=49.04079818725586/Node:10->8=90.0/
