Graph1 Name;Graph2 Name;Graph1 nb nodes;Graph2 nb nodes;Graph1 nb edges;Graph2 nb edges;Method;Param; distance;optimal solution found;Class Graph1;Class Graph2;matching
image4_43.gxl;image4_43.gxl;5;5;5;5;Distributed GED;-;   0.00000;true;4;4;Edge:1_<>3->1_<>3=0.0/Node:4->4=0.0/Edge:0_<>3->0_<>3=0.0/Node:1->1=0.0/Edge:0_<>4->0_<>4=0.0/Edge:0_<>2->0_<>2=0.0/Edge:1_<>2->1_<>2=0.0/Node:3->3=0.0/Node:2->2=0.0/Node:0->0=0.0/
image4_43.gxl;image8_7.gxl;5;5;5;5;Distributed GED;-; 425.77647;true;4;8;Node:4->3=90.0/Edge:1_<>3->eps_id=7.5/Edge:0_<>4->eps_id=7.5/Node:2->2=50.77647/Node:1->4=90.0/Node:3->0=90.0/Edge:0_<>3->0_<>1=0.0/Node:0->1=90.0/Edge:0_<>2->1_<>2=0.0/Edge:1_<>2->2_<>4=0.0/
image4_43.gxl;image22_29.gxl;5;5;5;5;Distributed GED;-; 423.75421;true;4;22;Edge:1_<>2->0_<>3=0.0/Edge:eps_id->0_<>4=7.5/Node:3->1=31.752955/Edge:0_<>2->eps_id=7.5/Node:4->2=90.0/Edge:1_<>3->0_<>1=0.0/Edge:0_<>3->1_<>4=0.0/Node:1->0=90.0/Node:2->3=90.0/Edge:eps_id->0_<>2=7.5/Node:0->4=99.501255/Edge:0_<>4->2_<>4=0.0/
image4_43.gxl;image7_34.gxl;5;5;5;5;Distributed GED;-; 636.98796;true;4;7;Node:1->0=31.579265/Edge:1_<>2->0_<>6=0.0/Edge:eps_id->1_<>2=7.5/Edge:eps_id->0_<>2=7.5/Edge:eps_id->6_<>9=7.5/Node:4->8=74.94665/Node:2->6=64.77847/Edge:0_<>4->eps_id=7.5/Edge:eps_id->5_<>7=7.5/Edge:eps_id->2_<>4=7.5/Node:eps_id->2=45.0/Node:eps_id->5=45.0/Edge:0_<>2->eps_id=7.5/Edge:1_<>3->eps_id=7.5/Edge:eps_id->3_<>7=7.5/Node:eps_id->4=45.0/Node:eps_id->9=45.0/Edge:eps_id->5_<>8=7.5/Edge:eps_id->5_<>9=7.5/Node:eps_id->7=45.0/Node:0->3=90.0/Node:3->1=68.183575/Edge:0_<>3->1_<>3=0.0/
image4_43.gxl;image7_37.gxl;5;5;5;5;Distributed GED;-; 663.66605;true;4;7;Node:0->1=90.0/Edge:0_<>2->eps_id=7.5/Node:eps_id->4=45.0/Edge:1_<>3->0_<>2=0.0/Node:1->0=42.979645/Edge:eps_id->3_<>7=7.5/Node:eps_id->9=45.0/Node:4->3=90.0/Edge:0_<>4->1_<>3=0.0/Node:2->6=73.186405/Edge:0_<>3->1_<>2=0.0/Edge:eps_id->5_<>7=7.5/Edge:eps_id->2_<>4=7.5/Node:eps_id->7=45.0/Node:eps_id->8=45.0/Node:eps_id->5=45.0/Edge:eps_id->6_<>9=7.5/Edge:eps_id->5_<>8=7.5/Edge:eps_id->5_<>9=7.5/Edge:1_<>2->0_<>6=0.0/Node:3->2=90.0/
image4_43.gxl;image7_38.gxl;5;5;5;5;Distributed GED;-; 621.56860;true;4;7;Edge:eps_id->3_<>7=7.5/Node:eps_id->7=45.0/Node:eps_id->4=45.0/Node:eps_id->9=45.0/Node:3->1=63.81614/Node:2->6=72.126625/Node:0->3=90.0/Edge:0_<>2->eps_id=7.5/Node:1->0=19.24188/Edge:eps_id->5_<>9=7.5/Edge:eps_id->1_<>2=7.5/Edge:1_<>2->0_<>6=0.0/Edge:eps_id->2_<>4=7.5/Node:4->8=68.88396/Edge:eps_id->0_<>2=7.5/Edge:0_<>4->eps_id=7.5/Edge:0_<>3->1_<>3=0.0/Edge:eps_id->6_<>9=7.5/Edge:1_<>3->eps_id=7.5/Node:eps_id->5=45.0/Node:eps_id->2=45.0/Edge:eps_id->5_<>8=7.5/Edge:eps_id->5_<>7=7.5/
image4_43.gxl;image21_4.gxl;5;5;5;5;Distributed GED;-; 844.64552;true;4;21;Edge:eps_id->2_<>3=7.5/Node:eps_id->9=45.0/Edge:eps_id->5_<>9=7.5/Edge:0_<>4->eps_id=7.5/Node:eps_id->0=45.0/Node:eps_id->3=45.0/Edge:eps_id->0_<>12=7.5/Edge:0_<>2->1_<>14=0.0/Edge:eps_id->6_<>13=7.5/Node:0->1=90.0/Node:1->10=50.3314/Edge:eps_id->2_<>6=7.5/Node:eps_id->2=45.0/Node:eps_id->12=45.0/Node:2->14=39.45884/Node:4->4=87.877755/Node:eps_id->7=45.0/Edge:0_<>3->1_<>11=0.0/Node:eps_id->6=45.0/Edge:eps_id->0_<>4=7.5/Node:eps_id->5=45.0/Node:eps_id->13=45.0/Edge:eps_id->5_<>8=7.5/Edge:1_<>2->10_<>14=0.0/Edge:1_<>3->10_<>11=0.0/Edge:eps_id->8_<>12=7.5/Node:3->11=44.47752/Node:eps_id->8=45.0/Edge:eps_id->3_<>13=7.5/Edge:eps_id->7_<>9=7.5/
image4_43.gxl;image18_14.gxl;5;5;5;5;Distributed GED;-; 845.02534;true;4;18;Edge:eps_id->4_<>5=7.5/Edge:eps_id->5_<>8=7.5/Node:eps_id->13=45.0/Edge:eps_id->4_<>6=7.5/Edge:eps_id->8_<>10=7.5/Node:3->9=24.545875/Node:eps_id->10=45.0/Node:2->11=48.9183/Edge:eps_id->9_<>12=7.5/Node:0->8=71.561165/Edge:0_<>2->eps_id=7.5/Edge:eps_id->3_<>14=7.5/Node:eps_id->3=45.0/Node:1->2=25.0/Edge:eps_id->1_<>6=7.5/Edge:1_<>2->2_<>11=0.0/Edge:eps_id->11_<>13=7.5/Node:eps_id->14=45.0/Edge:eps_id->0_<>3=7.5/Edge:0_<>4->1_<>8=0.0/Edge:eps_id->0_<>2=7.5/Node:eps_id->0=45.0/Edge:eps_id->0_<>7=7.5/Node:eps_id->5=45.0/Node:eps_id->12=45.0/Edge:0_<>3->eps_id=7.5/Node:4->1=90.0/Node:eps_id->7=45.0/Edge:eps_id->6_<>13=7.5/Edge:1_<>3->eps_id=7.5/Edge:eps_id->7_<>14=7.5/Node:eps_id->4=45.0/Edge:eps_id->10_<>12=7.5/Edge:eps_id->7_<>9=7.5/Node:eps_id->6=45.0/
image4_43.gxl;image18_16.gxl;5;5;5;5;Distributed GED;-; 908.88542;true;4;18;Edge:eps_id->4_<>6=7.5/Edge:eps_id->1_<>8=7.5/Edge:eps_id->0_<>7=7.5/Node:2->11=50.62114/Node:3->9=57.697485/Node:eps_id->4=45.0/Node:4->10=90.0/Edge:0_<>2->eps_id=7.5/Edge:eps_id->7_<>9=7.5/Node:eps_id->6=45.0/Edge:eps_id->4_<>5=7.5/Edge:0_<>4->10_<>12=0.0/Node:0->12=90.0/Node:eps_id->5=45.0/Edge:1_<>2->2_<>11=0.0/Edge:eps_id->3_<>14=7.5/Edge:eps_id->5_<>8=7.5/Node:eps_id->13=45.0/Node:eps_id->14=45.0/Edge:eps_id->7_<>14=7.5/Edge:eps_id->6_<>13=7.5/Edge:eps_id->0_<>2=7.5/Node:eps_id->1=45.0/Edge:eps_id->1_<>6=7.5/Node:eps_id->8=45.0/Node:eps_id->3=45.0/Node:1->2=50.56679/Node:eps_id->0=45.0/Edge:eps_id->0_<>3=7.5/Edge:0_<>3->9_<>12=0.0/Edge:1_<>3->eps_id=7.5/Node:eps_id->7=45.0/Edge:eps_id->8_<>10=7.5/Edge:eps_id->11_<>13=7.5/
image4_43.gxl;image21_31.gxl;5;5;5;5;Distributed GED;-;1107.22208;true;4;21;Node:eps_id->18=45.0/Edge:eps_id->17_<>18=7.5/Edge:eps_id->5_<>14=7.5/Edge:eps_id->4_<>7=7.5/Edge:eps_id->11_<>13=7.5/Node:eps_id->9=45.0/Node:eps_id->4=45.0/Node:3->7=30.05412/Node:eps_id->16=45.0/Node:eps_id->3=45.0/Node:eps_id->6=45.0/Node:eps_id->5=45.0/Node:eps_id->2=45.0/Edge:1_<>3->eps_id=7.5/Edge:eps_id->9_<>14=7.5/Node:eps_id->12=45.0/Edge:eps_id->5_<>19=7.5/Node:2->1=34.44198/Edge:eps_id->15_<>19=7.5/Edge:eps_id->2_<>16=7.5/Edge:eps_id->4_<>8=7.5/Edge:eps_id->0_<>18=7.5/Edge:1_<>2->1_<>8=0.0/Node:eps_id->15=45.0/Node:0->10=90.0/Node:eps_id->0=45.0/Edge:0_<>2->1_<>10=0.0/Edge:eps_id->12_<>16=7.5/Edge:eps_id->7_<>13=7.5/Node:1->8=37.725985/Edge:eps_id->0_<>3=7.5/Node:eps_id->17=45.0/Node:4->11=90.0/Node:eps_id->13=45.0/Edge:eps_id->9_<>15=7.5/Edge:0_<>4->10_<>11=0.0/Node:eps_id->19=45.0/Edge:eps_id->0_<>12=7.5/Node:eps_id->14=45.0/Edge:0_<>3->eps_id=7.5/Edge:eps_id->6_<>12=7.5/Edge:eps_id->2_<>3=7.5/Edge:eps_id->6_<>17=7.5/
